SUT-anti-ship/ASW torpedo,no_description
Adjutant-minesweeper,no_description
Swingfire-anti-tank missile,no_description
ERJ-transport aircraft,no_description
Mamba-APC/APV,no_description
Neustadt-patrol craft,no_description
RBS-15 Mk-3-anti-ship/land-attack missile,no_description
CF6-turbofan,no_description
Fieldguard-fire control radar,no_description
Harpy-loitering munition,no_description
Sapphire-turbojet,no_description
Boeing-757-200-transport aircraft,no_description
Pandur-2-APC,no_description
Nansen-frigate,no_description
375mm Quad-ASW MRL,no_description
F404-turbofan,no_description
vehicle engine-vehicle engine,no_description
Fi-156 Storch-light aircraft,no_description
Zambia Challenge-transport ship,no_description
Patria 6x6-APC,no_description
Saba Al Bahr-landing craft,no_description
FCS-3307-patrol craft,no_description
Hydra-ASW sonar,no_description
EC130-light helicopter,no_description
Osa-mobile SAM system,no_description
F-86 Sabre-fighter aircraft,no_description
PA-28 Cherokee-light aircraft,no_description
HS-30-IFV,no_description
RG-32 Scout-APV,no_description
LM-2500-gas turbine,no_description
SAK-70 Mk-2 57mm-naval gun,no_description
Al-Wahsh-APC,no_description
Courier-light aircraft,no_description
AS-12-anti-ship missile/ASM,no_description
K-9 Thunder 155mm-self-propelled gun,no_description
Project-414-tug,no_description
L-410 Turbolet-light transport aircraft,no_description
K029E-guided bomb,no_description
FIROS-51-self-propelled MRL,no_description
Do-27-light transport aircraft,no_description
Boxer/Type-22-frigate,no_description
FPB-57-FAC,no_description
Emer-OPV,no_description
M-1985 240mm-self-propelled MRL,no_description
S-125 Pechora-SAM system,no_description
Cessna-172-trainer/light aircraft,no_description
PA-31T MS Cheyenne-maritime patrol aircraft,no_description
BPz-2-ARV,no_description
EL/M-2106NG-air search radar,no_description
MR-123 Vynpel-fire control radar,no_description
FH-88 155mm-towed gun,no_description
Mi-24V/Mi-35-combat helicopter,no_description
Do-228-light transport aircraft,no_description
ALT-anti-tank AV turret,no_description
Anawrahta-corvette,no_description
EL/M-2022-MP aircraft radar,no_description
Piranha-APC,no_description
Jaguar-1-tank destroyer,no_description
PA-12 Super Cruiser-light aircraft,no_description
T-80U-tank,no_description
SF-Mk-2-patrol craft,no_description
LCU-1466-landing craft,no_description
F/A-18C Hornet-FGA aircraft,no_description
Mohafiz-APV,no_description
RSR-210N-air/sea search radar,no_description
MU-2-light transport aircraft,no_description
Redeye-portable SAM,no_description
Palmier-air search radar,no_description
Hughes-500D/MD-light helicopter,no_description
Beech-1900-light transport aircraft,no_description
Hunter TR-12-APC,no_description
BPS-500/Type-1241A-FAC,no_description
T-62-tank,no_description
Grenadier-APC,no_description
APR-40 122mm-self-propelled MRL,no_description
Spica-1-FAC,no_description
Z-226-trainer aircraft,no_description
Do-28D Skyservant-light transport aircraft,no_description
King Air Maritime-maritime patrol aircraft,no_description
P-1022-patrol craft,no_description
KS-19 100mm-AA gun,no_description
PA-18 Super Cup-light aircraft,no_description
DRPT-5 Rasit-ground surv radar,no_description
NASAMS-2-SAM system,no_description
Jinhou-tanker,no_description
M-114 155mm-towed gun,no_description
SA-330 Puma-helicopter,no_description
Boeing-767-transport aircraft,no_description
Su-22-FGA aircraft,no_description
Saladin-armoured car,no_description
S-400 Triumf-SAM system,no_description
Cessna-337/O-2-light aircraft,no_description
Vaslayayev-cargo ship,no_description
Oribe-replenishment tanker,no_description
Perry-frigate,no_description
Hunter-fighter aircraft,no_description
M-32-ARV,no_description
M-42 Duster-self-propelled AA gun,no_description
P-12-air search radar,no_description
9KA400-fire control radar,no_description
DHC-6-maritime patrol aircraft,no_description
M-20-reconnaissance AV,no_description
P-51D Mustang-fighter aircraft,no_description
MMWT-tank,no_description
Rafale-FGA aircraft,no_description
AIM-7M Sparrow-BVRAAM,no_description
Tara Bai-patrol craft,no_description
ship engine-ship engine,no_description
Hermes-900-UAV,no_description
R40S Festival-light aircraft,no_description
